Carreira,Nome da Microzona,Sentido,N.º Ordem,Código Paragem,Paragens  - Nome,Localização,Destino
201,Cais do Sodré,A,1,03804,Cais Sodré,Cais Sodré,Linda-a-Velha
201,Cais do Sodré,A,2,03802,Cais Sodré,Av. 24 Julho,Linda-a-Velha
201,Conde Barão,A,3,07102,Conde Barão - Av. 24 Julho,Av. 24 Julho,Linda-a-Velha
201,Santos,A,4,03902,Santos,Av. 24 Julho,Linda-a-Velha
201,Pç. Armada,A,5,03906,Cais Rocha (Museu Nac. Arte Antiga),Av. 24 Julho,Linda-a-Velha
201,Pç. Armada,A,6,10202,Av. Infante Santo,Av. 24 Julho,Linda-a-Velha
201,Alcântara Mar,A,7,04004,Alcântara - Av. 24 Julho,Av. 24 Julho,Linda-a-Velha
201,Calvário,A,8,12102,Calvário,Lg. Calvário,Linda-a-Velha
201,Calvário,A,9,12108,Estação Sto. Amaro,R. 1º Maio,Linda-a-Velha
201,Junqueira,A,10,09504,R. Junqueira (Centro Congressos),R. Junqueira,Linda-a-Velha
201,Junqueira,A,11,09506,Hosp. Egas Moniz,R. Junqueira,Linda-a-Velha
201,Altinho,A,12,09508,R. Pinto Ferreira,R. Junqueira,Linda-a-Velha
201,Altinho,A,13,04114,Altinho,R. Junqueira,Linda-a-Velha
201,Altinho,A,14,04110,Belém,R. Junqueira,Linda-a-Velha
201,Belém,A,15,09604,Mosteiro Jerónimos,Lg. Jerónimos,Linda-a-Velha
201,Belém,A,16,09608,R. Jerónimos,R. Jerónimos,Linda-a-Velha
201,Belém,A,17,09614,Av. Restelo (Estádio),Av. Restelo,Linda-a-Velha
201,Alto do Duque,A,18,09714,Av. Restelo,Av. Restelo,Linda-a-Velha
201,Alto do Duque,A,19,09712,Av. D. Vasco Gama,Av. Restelo,Linda-a-Velha
201,Alto do Duque,A,20,09709,R. Alto Duque,Av. D. Vasco Gama,Linda-a-Velha
201,Algés,A,21,04205,R. D. Jerónimo Osório,Av. D. Vasco Gama,Linda-a-Velha
201,Algés,A,22,04207,Algés,Av. Bombeiros Voluntários Algés,Linda-a-Velha
201,Algés,A,23,04202,Algés (Mercado),Av. Bombeiros Voluntários Algés,Linda-a-Velha
201,Algés,A,24,04224,R. Latino Coelho,Av. Bombeiros Voluntários Algés,Linda-a-Velha
201,Av. Bombeiros Voluntários,A,25,18404,Av. Bombeiros V. Algés (Cinema),Av. Bombeiros Voluntários Algés,Linda-a-Velha
